Date,Bitfinex-BTC-USD,Bithumb-BTC-KRW
2019-10-12-16:29,8358.5,9903000
2019-10-12-16:30,8361,9903000
2019-10-12-16:31,8359.9,9902000
2019-10-12-16:32,8359.9,9902000
2019-10-12-17:46,8368.4,9908000
2019-10-12-17:47,8369.4,9907000
2019-10-12-17:48,8370,9913000
2019-10-12-17:49,8371.7,9913000
2019-10-12-17:50,8371,9915000
2019-10-12-17:51,8370.9,9909000
2019-10-12-17:52,8371.7,9915000
2019-10-12-17:53,8371.6,9916000
2019-10-12-17:54,8371.6,9910000
2019-10-12-17:55,8371.7,9915000
2019-10-12-17:56,8371.6,9917000
2019-10-12-17:57,8370.7,9919000
2019-10-12-17:58,8370.7,9911000
2019-10-12-17:59,8371.7,9909000
